"Date","Price","Open","High","Low","Vol.","Change %"
"02/28/2019","0.020","0.020","0.020","0.020","","81.82%"
"02/27/2019","0.011","0.020","0.020","0.011","42.49K","0.00%"
"02/26/2019","0.011","0.015","0.015","0.011","2.15K","-63.33%"
"02/25/2019","0.030","0.011","0.030","0.011","0.59K","-62.50%"
"02/20/2019","0.080","0.046","0.080","0.046","0.50K","-2.44%"
"02/19/2019","0.082","0.012","0.082","0.012","0.50K","331.58%"
"02/15/2019","0.019","0.020","0.030","0.019","50.85K","-5.00%"
"02/14/2019","0.020","0.020","0.020","0.020","","0.00%"
"02/13/2019","0.020","0.020","0.020","0.020","","17.65%"
"02/07/2019","0.017","0.017","0.017","0.017","","6.25%"
"02/05/2019","0.016","0.016","0.016","0.016","","6.67%"
"02/01/2019","0.015","0.020","0.020","0.015","7.12K","-37.50%"
"01/30/2019","0.024","0.060","0.062","0.020","3.75K","-76.00%"
"01/28/2019","0.100","0.061","0.100","0.023","1.51K","100.00%"
"01/25/2019","0.050","0.050","0.050","0.050","","0.00%"
"01/24/2019","0.050","0.050","0.050","0.050","","0.00%"
"01/23/2019","0.050","0.085","0.100","0.050","30.66K","-54.55%"
"01/18/2019","0.110","0.110","0.110","0.110","","-15.38%"
"01/17/2019","0.130","0.126","0.130","0.120","31.87K","7.44%"
"01/16/2019","0.121","0.121","0.121","0.121","","0.00%"
"01/15/2019","0.121","0.121","0.121","0.121","","0.00%"
"01/14/2019","0.121","0.121","0.121","0.121","","-2.42%"
"01/11/2019","0.124","0.121","0.124","0.121","3.13K","2.48%"
"01/10/2019","0.121","0.142","0.150","0.121","32.15K","-14.79%"
"01/09/2019","0.142","0.125","0.142","0.125","1.00K","13.60%"
"01/07/2019","0.125","0.125","0.125","0.125","","-10.71%"
"01/04/2019","0.140","0.120","0.140","0.120","0.44K","16.67%"
"01/03/2019","0.120","0.120","0.120","0.120","","-4.00%"
"01/02/2019","0.125","0.140","0.140","0.120","1.71K","4.17%"
"12/31/2018","0.120","0.140","0.160","0.120","33.93K","-20.00%"
"12/28/2018","0.150","0.120","0.160","0.120","12.18K","25.00%"
"12/27/2018","0.120","0.140","0.140","0.120","1.48K","-14.29%"
"12/26/2018","0.140","0.120","0.140","0.120","3.93K","16.67%"
"12/24/2018","0.120","0.140","0.160","0.120","10.51K","0.00%"
"12/21/2018","0.120","0.160","0.180","0.120","78.82K","-36.84%"
"12/20/2018","0.190","0.190","0.190","0.190","","0.00%"
"12/19/2018","0.190","0.160","0.190","0.160","3.21K","-13.64%"
"12/18/2018","0.220","0.160","0.220","0.160","15.20K","0.00%"
"12/17/2018","0.220","0.160","0.220","0.160","4.41K","37.50%"
"12/14/2018","0.160","0.250","0.250","0.160","2.20K","6.67%"
"12/12/2018","0.150","0.143","0.200","0.143","3.34K","0.00%"
"12/11/2018","0.150","0.150","0.150","0.150","","-25.00%"
"12/10/2018","0.200","0.130","0.200","0.130","2.29K","0.00%"
"12/07/2018","0.200","0.200","0.200","0.200","","0.00%"
"12/06/2018","0.200","0.120","0.200","0.120","5.47K","66.67%"
"12/04/2018","0.120","0.130","0.130","0.120","0.49K","-20.00%"
"12/03/2018","0.150","0.185","0.200","0.150","5.98K","-25.00%"
"11/30/2018","0.200","0.240","0.240","0.110","15.65K","66.67%"
"11/29/2018","0.120","0.120","0.120","0.120","","-36.84%"
"11/28/2018","0.190","0.120","0.190","0.120","26.10K","18.75%"
"11/27/2018","0.160","0.150","0.160","0.150","0.47K","6.67%"
"11/26/2018","0.150","0.225","0.250","0.150","43.73K","-34.78%"
"11/21/2018","0.230","0.200","0.230","0.200","19.28K","14.43%"
"11/20/2018","0.201","0.200","0.245","0.200","6.83K","-17.96%"
"11/19/2018","0.245","0.245","0.245","0.245","","0.00%"
"11/16/2018","0.245","0.200","0.250","0.200","21.94K","11.36%"
"11/15/2018","0.220","0.220","0.220","0.220","","0.00%"
"11/14/2018","0.220","0.300","0.300","0.220","3.58K","-4.35%"
"11/13/2018","0.230","0.255","0.300","0.230","2.33K","-23.33%"
"11/12/2018","0.300","0.200","0.300","0.200","24.23K","20.00%"
"11/09/2018","0.250","0.250","0.250","0.250","","-28.57%"
"11/07/2018","0.350","0.250","0.350","0.250","7.92K","40.00%"
"11/06/2018","0.250","0.370","0.370","0.250","6.74K","-35.90%"
"11/05/2018","0.390","0.510","0.510","0.390","8.33K","-4.88%"
"11/02/2018","0.410","0.430","0.430","0.410","6.54K","0.00%"
