iter	Passed	Remaining
606	3378	7753
607	3383	7745
608	3388	7740
609	3393	7733
610	3398	7726
611	3405	7723
612	3410	7717
613	3416	7712
614	3422	7707
615	3427	7700
616	3433	7695
617	3438	7688
618	3443	7681
619	3448	7676
620	3454	7670
621	3459	7665
622	3465	7660
623	3471	7655
624	3477	7650
625	3483	7646
626	3489	7641
627	3496	7638
628	3500	7630
629	3507	7627
630	3513	7622
631	3518	7616
632	3524	7611
633	3530	7607
634	3535	7600
635	3541	7595
636	3547	7590
637	3553	7585
638	3558	7578
639	3563	7573
640	3569	7568
641	3575	7563
642	3581	7558
643	3587	7553
644	3593	7548
645	3597	7541
646	3603	7536
647	3609	7530
648	3614	7524
649	3619	7518
650	3626	7515
651	3631	7507
652	3637	7502
653	3642	7497
654	3647	7490
655	3653	7485
656	3660	7481
657	3666	7477
658	3673	7474
659	3678	7468
660	3684	7463
661	3690	7459
662	3695	7452
663	3700	7445
664	3705	7438
665	3710	7432
666	3715	7426
667	3720	7418
668	3725	7412
669	3730	7405
670	3736	7400
671	3741	7393
672	3746	7388
673	3751	7381
674	3756	7374
675	3761	7367
676	3767	7361
677	3771	7354
678	3777	7348
679	3782	7341
680	3786	7334
681	3792	7329
682	3797	7323
683	3802	7316
684	3808	7311
685	3813	7305
686	3819	7299
687	3823	7292
688	3829	7286
689	3834	7280
690	3839	7273
691	3845	7268
692	3850	7262
693	3855	7256
694	3861	7251
695	3867	7245
696	3872	7238
697	3878	7234
698	3884	7229
699	3889	7222
700	3895	7218
701	3899	7210
702	3905	7205
703	3911	7199
704	3917	7195
705	3922	7188
706	3927	7181
707	3932	7175
708	3937	7169
709	3942	7162
710	3947	7155
711	3951	7149
712	3956	7142
713	3963	7137
714	3968	7131
715	3974	7128
716	3979	7121
717	3984	7115
718	3990	7108
719	3995	7103
720	4001	7097
721	4006	7092
722	4012	7086
723	4017	7080
724	4023	7075
725	4028	7069
726	4033	7063
727	4038	7055
728	4043	7050
729	4049	7044
730	4053	7036
731	4059	7031
732	4064	7026
733	4070	7020
734	4076	7015
735	4081	7009
736	4086	7003
737	4091	6997
738	4096	6990
739	4101	6984
740	4106	6977
741	4111	6970
742	4116	6963
743	4121	6957
744	4126	6951
745	4131	6945
746	4137	6940
747	4142	6933
748	4147	6927
749	4153	6922
750	4157	6915
751	4163	6909
752	4169	6904
753	4174	6897
754	4179	6891
755	4184	6886
756	4190	6880
757	4195	6873
758	4200	6868
759	4206	6862
760	4211	6857
761	4216	6850
762	4222	6844
763	4227	6838
764	4232	6832
765	4237	6826
766	4242	6820
767	4247	6813
768	4252	6807
769	4257	6801
770	4264	6797
771	4270	6792
772	4276	6788
773	4282	6783
774	4288	6778
775	4294	6773
776	4300	6768
777	4306	6763
778	4311	6758
779	4318	6754
780	4323	6748
781	4329	6743
782	4336	6739
783	4341	6733
784	4346	6727
785	4351	6721
786	4356	6713
787	4361	6708
788	4367	6702
789	4372	6696
790	4377	6691
791	4384	6687
792	4390	6682
793	4395	6676
794	4401	6671
795	4407	6666
796	4413	6662
797	4419	6657
798	4425	6651
799	4430	6646
800	4436	6640
801	4441	6633
802	4446	6628
803	4452	6623
804	4457	6617
805	4464	6613
806	4469	6606
807	4474	6601
808	4480	6596
809	4486	6591
810	4492	6586
811	4498	6581
812	4502	6574
813	4508	6568
814	4514	6563
815	4519	6557
816	4524	6551
817	4530	6546
818	4536	6541
819	4542	6536
820	4548	6531
821	4553	6525
822	4558	6519
823	4563	6513
824	4569	6508
825	4574	6501
826	4579	6496
827	4585	6490
828	4589	6483
829	4595	6478
830	4601	6472
831	4606	6466
832	4612	6461
833	4617	6455
834	4622	6449
835	4628	6443
836	4633	6437
837	4638	6432
838	4644	6426
839	4649	6420
840	4654	6415
841	4660	6409
842	4665	6403
843	4671	6397
844	4676	6392
845	4683	6389
846	4689	6383
847	4695	6378
848	4701	6373
849	4707	6368
850	4712	6362
851	4718	6357
852	4724	6352
853	4729	6346
854	4734	6341
855	4740	6335
856	4745	6329
857	4751	6324
858	4758	6320
859	4765	6316
860	4771	6311
861	4777	6306
862	4782	6301
863	4789	6297
864	4795	6292
865	4802	6288
866	4808	6283
867	4814	6278
868	4819	6272
869	4824	6266
870	4830	6261
871	4836	6255
872	4841	6250
873	4847	6245
874	4853	6239
875	4859	6234
876	4865	6229
877	4871	6225
878	4877	6220
879	4882	6214
880	4888	6209
881	4894	6203
882	4900	6198
883	4905	6193
884	4911	6188
885	4917	6182
886	4922	6176
887	4927	6170
888	4933	6165
889	4938	6158
890	4943	6153
891	4948	6147
892	4953	6140
893	4958	6134
894	4963	6127
895	4969	6123
896	4974	6117
897	4979	6111
898	4985	6105
899	4990	6099
900	4996	6094
901	5001	6088
902	5006	6082
903	5011	6076
904	5017	6071
905	5022	6064
906	5027	6059
907	5033	6053
908	5038	6047
909	5044	6041
910	5049	6035
911	5054	6029
912	5059	6024
913	5064	6017
914	5071	6013
915	5076	6007
916	5082	6002
917	5087	5996
918	5092	5990
919	5098	5984
920	5103	5978
921	5108	5972
922	5114	5967
923	5119	5962
924	5124	5956
925	5130	5949
926	5135	5943
927	5140	5937
928	5145	5932
929	5151	5926
930	5156	5920
931	5161	5914
932	5166	5908
933	5172	5903
934	5177	5897
935	5182	5891
936	5187	5885
937	5193	5879
938	5198	5873
939	5203	5867
940	5208	5861
941	5213	5855
942	5218	5849
943	5223	5843
944	5228	5837
945	5233	5831
946	5239	5825
947	5244	5819
948	5249	5813
949	5254	5807
950	5259	5802
951	5265	5796
952	5270	5790
953	5276	5785
954	5283	5780
955	5289	5776
956	5296	5772
957	5303	5768
958	5309	5763
959	5315	5758
960	5321	5753
961	5327	5748
962	5333	5743
963	5339	5737
964	5345	5732
965	5350	5727
966	5356	5721
967	5362	5716
968	5368	5711
969	5373	5706
970	5379	5700
971	5385	5695
972	5391	5690
973	5397	5685
974	5401	5678
975	5407	5673
976	5412	5667
977	5417	5660
978	5422	5654
979	5428	5650
980	5434	5644
981	5440	5639
982	5444	5633
983	5450	5628
984	5456	5622
985	5461	5616
986	5467	5611
987	5472	5605
988	5479	5601
989	5484	5595
990	5490	5589
991	5495	5584
992	5501	5578
993	5505	5572
994	5510	5565
995	5515	5559
996	5521	5554
997	5526	5548
998	5531	5542
999	5537	5537
1000	5541	5530
1001	5547	5525
1002	5553	5519
1003	5557	5513
1004	5562	5507
1005	5568	5502
1006	5573	5495
1007	5579	5490
1008	5584	5484
1009	5589	5478
1010	5594	5472
1011	5600	5467
1012	5605	5461
1013	5611	5456
1014	5616	5450
1015	5621	5444
1016	5626	5438
1017	5631	5432
1018	5637	5426
1019	5642	5421
1020	5647	5414
1021	5651	5408
1022	5657	5403
1023	5662	5397
1024	5668	5392
1025	5674	5386
1026	5679	5380
1027	5684	5374
1028	5690	5369
1029	5695	5363
1030	5700	5357
1031	5706	5352
1032	5710	5345
1033	5716	5340
1034	5721	5334
1035	5726	5328
1036	5732	5323
1037	5737	5317
1038	5742	5311
1039	5748	5306
1040	5753	5300
1041	5758	5294
1042	5764	5288
1043	5769	5282
1044	5774	5276
1045	5779	5270
1046	5784	5264
1047	5789	5258
1048	5795	5253
1049	5800	5247
1050	5805	5242
1051	5811	5236
1052	5816	5230
1053	5820	5224
1054	5825	5218
1055	5831	5213
1056	5836	5207
1057	5842	5202
1058	5848	5196
1059	5852	5190
1060	5859	5185
1061	5865	5180
1062	5871	5175
1063	5876	5169
1064	5881	5163
1065	5886	5157
1066	5892	5152
1067	5897	5146
1068	5902	5140
1069	5907	5134
1070	5912	5128
1071	5917	5122
1072	5923	5117
1073	5930	5112
1074	5935	5107
1075	5940	5101
1076	5945	5095
1077	5950	5089
1078	5955	5083
1079	5961	5078
1080	5966	5072
1081	5971	5066
1082	5977	5061
1083	5982	5055
1084	5987	5049
1085	5993	5044
1086	5998	5038
1087	6003	5032
1088	6010	5027
1089	6015	5021
1090	6020	5016
1091	6026	5010
1092	6030	5004
1093	6035	4998
1094	6041	4992
1095	6046	4987
1096	6051	4981
1097	6057	4975
1098	6062	4970
1099	6067	4964
1100	6073	4959
1101	6080	4954
1102	6085	4949
1103	6091	4943
1104	6096	4937
1105	6101	4932
1106	6107	4926
1107	6112	4920
1108	6117	4914
1109	6123	4909
1110	6128	4903
1111	6133	4897
1112	6138	4891
1113	6143	4886
1114	6149	4880
1115	6154	4874
1116	6159	4869
1117	6165	4863
1118	6170	4857
1119	6175	4851
1120	6180	4846
1121	6185	4840
1122	6190	4834
1123	6196	4829
1124	6201	4823
1125	6206	4817
1126	6212	4812
1127	6217	4806
1128	6222	4800
1129	6228	4795
1130	6233	4789
1131	6238	4783
1132	6243	4778
1133	6248	4771
1134	6253	4765
1135	6259	4760
1136	6265	4755
1137	6271	4750
1138	6276	4744
1139	6282	4739
1140	6288	4734
1141	6293	4728
1142	6299	4723
1143	6304	4717
1144	6308	4710
1145	6313	4705
1146	6319	4699
1147	6324	4693
1148	6328	4687
1149	6334	4682
1150	6339	4676
1151	6344	4670
1152	6350	4664
1153	6354	4658
1154	6360	4653
1155	6366	4648
1156	6371	4642
1157	6376	4636
1158	6381	4630
1159	6387	4625
1160	6392	4619
1161	6397	4613
1162	6402	4608
1163	6407	4602
